order_id,customer_id,category,order_amount,order_date,returned,discount_pct
1,1017,sports,156.66,2024-01-01 00:00:00,1,0
2,1154,electronics,14.33,2024-01-01 02:00:00,0,20
3,1130,clothing,118.02,2024-01-01 04:00:00,0,0
4,1087,books,222.17,2024-01-01 06:00:00,0,10
5,1086,home,12.22,2024-01-01 08:00:00,0,15
6,1171,electronics,141.08,2024-01-01 10:00:00,0,15
7,1017,books,24.23,2024-01-01 12:00:00,0,15
8,1139,electronics,9.79,2024-01-01 14:00:00,0,5
9,1040,home,8.27,2024-01-01 16:00:00,0,20
10,1018,home,41.53,2024-01-01 18:00:00,0,0
11,1105,books,1.17,2024-01-01 20:00:00,0,0
12,1195,clothing,22.51,2024-01-01 22:00:00,0,20
13,1147,electronics,41.76,2024-01-02 00:00:00,0,0
14,1152,sports,46.89,2024-01-02 02:00:00,0,0
15,1143,home,18.53,2024-01-02 04:00:00,1,0
16,1157,clothing,30.6,2024-01-02 06:00:00,0,0
17,1102,books,16.15,2024-01-02 08:00:00,0,0
18,1025,home,22.29,2024-01-02 10:00:00,0,10
19,1167,home,95.82,2024-01-02 12:00:00,0,15
20,1090,books,42.78,2024-01-02 14:00:00,0,0
21,1100,clothing,109.24,2024-01-02 16:00:00,0,20
22,1074,home,22.12,2024-01-02 18:00:00,0,0
23,1036,home,2.18,2024-01-02 20:00:00,0,15
24,1185,books,61.7,2024-01-02 22:00:00,0,20
25,1156,electronics,100.62,2024-01-03 00:00:00,0,10
26,1128,books,8.0,2024-01-03 02:00:00,0,10
27,1080,home,90.53,2024-01-03 04:00:00,0,0
28,1164,sports,9.81,2024-01-03 06:00:00,0,5
29,1109,books,28.72,2024-01-03 08:00:00,0,20
30,1088,clothing,65.24,2024-01-03 10:00:00,0,5
31,1090,books,8.11,2024-01-03 12:00:00,0,0
32,1045,electronics,78.03,2024-01-03 14:00:00,0,15
33,1018,electronics,60.87,2024-01-03 16:00:00,0,15
34,1110,home,85.77,2024-01-03 18:00:00,0,0
35,1177,sports,6.41,2024-01-03 20:00:00,0,0
36,1012,sports,23.28,2024-01-03 22:00:00,0,0
37,1171,books,131.68,2024-01-04 00:00:00,0,0
38,1165,electronics,1.9,2024-01-04 02:00:00,0,15
39,1055,sports,139.31,2024-01-04 04:00:00,0,0
40,1126,books,104.38,2024-01-04 06:00:00,0,15
41,1033,clothing,7.76,2024-01-04 08:00:00,0,0
42,1151,sports,13.4,2024-01-04 10:00:00,0,20
43,1140,home,120.22,2024-01-04 12:00:00,0,15
44,1070,home,52.82,2024-01-04 14:00:00,0,5
45,1013,clothing,43.88,2024-01-04 16:00:00,0,10
46,1194,sports,24.89,2024-01-04 18:00:00,0,0
47,1089,books,45.77,2024-01-04 20:00:00,0,0
48,1178,books,35.5,2024-01-04 22:00:00,0,10
49,1135,home,42.29,2024-01-05 00:00:00,0,0
50,1155,home,142.14,2024-01-05 02:00:00,0,15
